DESIGNATEDNAME,RIVER,AREAID,BOUNDARYSTATUS,CLASSIFICATION,OBJECTID,SHAPEAREA,SHAPELEN
"Merced, California National Wild and Scenic River","Merced, California",062,Final,Wild,159279,0.00210169939112815,0.623342909873845
"Middle Fork Clearwater, Idaho National Wild and Scenic River","Middle Fork Clearwater, Idaho",001,Final,Wild,159280,0.0095550584353771,2.28852538068585
"Middle Fork Salmon, Idaho National Wild and Scenic River","Middle Fork Salmon, Idaho",007,Final,Wild,159281,0.0137932521708294,3.41469859171736
"Middle Fork Snoqualmie, Washington National Wild and Scenic River","Middle Fork Snoqualmie, Washington",209,"Provisional, Subject to Change",Wild,159282,0.00102927214712255,0.260740545106065
"Minam, Oregon National Wild and Scenic River","Minam, Oregon",086,"Provisional, Subject to Change",Wild,159283,0.00625051907523985,1.34207940589618
"North Fork American, California National Wild and Scenic River","North Fork American, California",021,Final,Wild,159284,0.0049781519022194,1.32155208222536
"North Fork Crooked, Oregon National Wild and Scenic River","North Fork Crooked, Oregon",087,Final,Wild,159285,0.00193267644225995,0.349930754534575
"North Fork John Day, Oregon National Wild and Scenic River","North Fork John Day, Oregon",088,"Provisional, Subject to Change",Wild,159286,0.001390338135006,0.97713305661381
"North Fork Middle Fork Willamette, Oregon National Wild and Scenic River","North Fork Middle Fork Willamette, Oregon",090,Final,Wild,159287,0.0011350004526261,0.288791384993166
"North Fork San Jacinto, California National Wild and Scenic River","North Fork San Jacinto, California",200,"Provisional, Subject to Change",Wild,159288,0.0008508496803281,0.266901449489257
"North Fork Smith, Oregon National Wild and Scenic River","North Fork Smith, Oregon",092,"Provisional, Subject to Change",Wild,159289,0.0009453497177097,0.253508098794754
"Ontonagon, Michigan National Wild and Scenic River","Ontonagon, Michigan",124,"Provisional, Subject to Change",Wild,159290,0.00578845876316435,1.6812771284131
"Owens River Headwaters, California National Wild and Scenic River","Owens River Headwaters, California",197,"Provisional, Subject to Change",Wild,159291,0.00071703712965685,0.216488401112786
